"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","","","","","","",""
"2","WATL","","4","","","","","","","","","","","","",""
"3","GSL","","","","","","","","","","","","","","",""
"4","SATL","","","","12","","","","","","","","","","",""
"5","NATL","","","","","","","","","","","","","","",""
"6","EATL","","4","","20","","32","","","","","","","","",""
"7","MED","","","","4","","","24","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","","","","","","",""
"10","WATL","","4","","","4","","","","","","","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","4","","16","","8","4","","","","","","","",""
"13","NATL","","","","","","","","","","","","","","",""
"14","EATL","","","","4","","12","","","","","","","","",""
"15","MED","","","","","","","12","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","","","","","","",""
"18","WATL","","8","","","","","","","","","","","","",""
"19","GSL","","","","","","","","","","","","","","",""
"20","SATL","","","","","","","","","","","","","","",""
"21","NATL","","","","","","4","","","","","","","","",""
"22","EATL","","","","","","8","","","","","","","","",""
"23","MED","","","","","","","","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","","","","","","",""
"26","WATL","","4","","","","","","","","","","","","",""
"27","GSL","","","","","","","","","","","","","","",""
"28","SATL","","","","4","","","4","","","","","","","",""
"29","NATL","","","","","","","","","","","","","","",""
"30","EATL","","","","","","72","","","","","","","","",""
"31","MED","","","","4","","","20","","","","","","","",""
