"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","28","","","","","",""
"2","WATL","","44","","","","","","","176","188","","4","","",""
"3","GSL","","","","","","","","","4","4","","","","",""
"4","SATL","","","","","","16","","","","","","","","",""
"5","NATL","","8","","12","4","","","","","","","","","",""
"6","EATL","","","","12","","4","","","","","","","","",""
"7","MED","","","","","","","4","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","148","16","","","","",""
"10","WATL","","28","","24","4","4","8","","112","48","","4","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","","","8","","8","","","","","","4","","",""
"13","NATL","","","","4","","","","","","","","","","",""
"14","EATL","","","","4","","8","4","","","","","","","",""
"15","MED","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","8","72","12","","","",""
"18","WATL","","20","","4","","4","","","","68","8","","","",""
"19","GSL","","","","","","","","","","","","","","",""
"20","SATL","","","","4","8","12","12","","","8","","","","",""
"21","NATL","","","","","4","","","","","","","","","",""
"22","EATL","","","","4","","12","","","","","","","","",""
"23","MED","","","4","24","12","36","116","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","","","","","","",""
"26","WATL","","20","","","","","","","4","80","8","","","",""
"27","GSL","","8","","","","","","","24","120","","","","",""
"28","SATL","","","","12","","","","","","","","","","",""
"29","NATL","","","","","16","","","","","","","","","",""
"30","EATL","","","","4","16","16","","","","","","","","",""
"31","MED","","","","","","","16","","","","","","","",""
