"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","","","","","","",""
"2","WATL","","","","","","","","","","4","","","","",""
"3","GSL","","","","","","","","","","","","","","",""
"4","SATL","","","","4","","","4","","","","","","","",""
"5","NATL","","","","","","","","","","","","","","",""
"6","EATL","","","","","","","","","","","","","","",""
"7","MED","","","","8","","","120","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","","","","","","",""
"10","WATL","","","","","","","","","","8","","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","","","4","","","","","","","","","","",""
"13","NATL","","","","","","","","","","","","","","",""
"14","EATL","","","","","","","","","","","","","","",""
"15","MED","","","","","","","56","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","","","","","","",""
"18","WATL","","","","","","","","","","8","","","","",""
"19","GSL","","","","","","","","","","","","","","",""
"20","SATL","","","","4","","","","","","","","","","",""
"21","NATL","","","","","","","","","","","","","","",""
"22","EATL","","","","","","","","","","","","","","",""
"23","MED","","","","","","","20","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","","","","","","",""
"26","WATL","","","","","","","","","","4","","","","",""
"27","GSL","","","","","","","","","","","","","","",""
"28","SATL","","","","","","","","","","","","","","",""
"29","NATL","","","","","","","","","","","","","","",""
"30","EATL","","","","","","","","","","","","","","",""
"31","MED","","","","4","","","152","","","","","","","",""
