Year,Quarter,Area,qNo,Fleet,Index,lt,CV,Name
1992,3,6,1,3,695.16,0,0.427,SPN_BB
1993,3,6,1,3,2093.55,0,0.403,SPN_BB
1994,3,6,1,3,1007.03,0,0.419,SPN_BB
1995,3,6,1,3,1235.91,0,0.405,SPN_BB
1996,3,6,1,3,1739.29,0,0.398,SPN_BB
1997,3,6,1,3,2246.41,0,0.404,SPN_BB
1998,3,6,1,3,879.51,0,0.409,SPN_BB
1999,3,6,1,3,339.77,0,0.436,SPN_BB
2000,3,6,1,3,960.44,0,0.402,SPN_BB
2001,3,6,1,3,704.49,0,0.447,SPN_BB
2002,3,6,1,3,687.42,0,0.423,SPN_BB
2003,3,6,1,3,444.91,0,0.482,SPN_BB
2004,3,6,1,3,1210.46,0,0.417,SPN_BB
2005,3,6,1,3,2383.57,0,0.4,SPN_BB
2006,3,6,1,3,850.09,0,0.48,SPN_BB
2007,3,6,2,3,2179.982,0,0.3123,SPN_FR_BB
2008,3,6,2,3,2154.014,0,0.3018,SPN_FR_BB
2009,3,6,2,4,955.3767,0,0.3032,SPN_FR_BB
2010,3,6,2,4,2126.197,0,0.3066,SPN_FR_BB
2011,3,6,2,4,2785.474,0,0.3043,SPN_FR_BB
2012,3,6,2,4,2306.988,0,0.3866,SPN_FR_BB
2013,3,6,2,4,1569.126,0,0.4425,SPN_FR_BB
2014,3,6,2,4,678.2874,0,0.4114,SPN_FR_BB
1981,2,4,3,12,768.36,0,0.5719,MOR_SPN_TRAP
1982,2,4,3,12,1038.12,0,0.3463,MOR_SPN_TRAP
1983,2,4,3,12,1092.05,0,0.3463,MOR_SPN_TRAP
1984,2,4,3,12,1200.27,0,0.3463,MOR_SPN_TRAP
1985,2,4,3,12,814.46,0,0.3464,MOR_SPN_TRAP
1986,2,4,3,12,394.33,0,0.2805,MOR_SPN_TRAP
1987,2,4,3,12,433.53,0,0.2805,MOR_SPN_TRAP
1988,2,4,3,12,1014.56,0,0.2803,MOR_SPN_TRAP
1989,2,4,3,12,531.45,0,0.2609,MOR_SPN_TRAP
1990,2,4,3,12,614.37,0,0.226,MOR_SPN_TRAP
1991,2,4,3,12,727.86,0,0.2259,MOR_SPN_TRAP
1992,2,4,3,12,313.95,0,0.2263,MOR_SPN_TRAP
1993,2,4,3,12,325.36,0,0.2262,MOR_SPN_TRAP
1994,2,4,3,12,341.9,0,0.2262,MOR_SPN_TRAP
1995,2,4,3,12,223.43,0,0.2265,MOR_SPN_TRAP
1996,2,4,3,12,375.22,0,0.2462,MOR_SPN_TRAP
1997,2,4,3,12,992.41,0,0.2459,MOR_SPN_TRAP
1998,2,4,3,12,925.14,0,0.2459,MOR_SPN_TRAP
1999,2,4,3,12,1137.45,0,0.2459,MOR_SPN_TRAP
2000,2,4,3,12,739.23,0,0.2259,MOR_SPN_TRAP
2001,2,4,3,12,1284.62,0,0.2258,MOR_SPN_TRAP
2002,2,4,3,12,1130.42,0,0.2258,MOR_SPN_TRAP
2003,2,4,3,12,662.66,0,0.2368,MOR_SPN_TRAP
2004,2,4,3,12,332.36,0,0.2262,MOR_SPN_TRAP
2005,2,4,3,12,677.39,0,0.2259,MOR_SPN_TRAP
2006,2,4,3,12,633.94,0,0.226,MOR_SPN_TRAP
2007,2,4,3,12,1000.6,0,0.2259,MOR_SPN_TRAP
2008,2,4,3,12,634.18,0,0.226,MOR_SPN_TRAP
2009,2,4,3,13,876.71,0,0.2259,MOR_SPN_TRAP
2010,2,4,3,13,1042.24,0,0.2366,MOR_SPN_TRAP
2011,2,4,3,13,674.97,0,0.2259,MOR_SPN_TRAP
2012,2,4,4,13,41.15,0,0.461218,MOR_POR_TRAP
2013,2,4,4,13,88.58,0,0.5189009,MOR_POR_TRAP
2014,2,4,4,13,48.54,0,0.5103493,MOR_POR_TRAP
2015,2,4,4,13,66.98,0,0.5449676,MOR_POR_TRAP
2016,2,4,4,13,64.03,0,0.5739331,MOR_POR_TRAP
2017,2,4,4,13,67.97051734,0,0.5715003,MOR_POR_TRAP
2018,2,4,4,13,47.08205123,0,0.5542897,MOR_POR_TRAP
1975,2,4,5,2,1.9,0,0.15,JPN_LL_Eatl_Med
1976,2,4,5,2,2.15,0,0.12,JPN_LL_Eatl_Med
1977,2,4,5,2,3.53,0,0.14,JPN_LL_Eatl_Med
1978,2,4,5,2,1.5,0,0.15,JPN_LL_Eatl_Med
1979,2,4,5,2,2.7,0,0.14,JPN_LL_Eatl_Med
1980,2,4,5,2,1.69,0,0.16,JPN_LL_Eatl_Med
1981,2,4,5,2,1.63,0,0.17,JPN_LL_Eatl_Med
1982,2,4,5,2,3.32,0,0.13,JPN_LL_Eatl_Med
1983,2,4,5,2,2.12,0,0.13,JPN_LL_Eatl_Med
1984,2,4,5,2,1.62,0,0.12,JPN_LL_Eatl_Med
1985,2,4,5,2,1.75,0,0.15,JPN_LL_Eatl_Med
1986,2,4,5,2,1.32,0,0.14,JPN_LL_Eatl_Med
1987,2,4,5,2,2.16,0,0.13,JPN_LL_Eatl_Med
1988,2,4,5,2,1.35,0,0.14,JPN_LL_Eatl_Med
1989,2,4,5,2,1.05,0,0.16,JPN_LL_Eatl_Med
1990,2,4,5,2,1.41,0,0.14,JPN_LL_Eatl_Med
1991,2,4,5,2,1.21,0,0.13,JPN_LL_Eatl_Med
1992,2,4,5,2,1.03,0,0.14,JPN_LL_Eatl_Med
1993,2,4,5,2,1.04,0,0.14,JPN_LL_Eatl_Med
1994,2,4,5,2,1.12,0,0.16,JPN_LL_Eatl_Med
1995,2,4,5,2,1.42,0,0.15,JPN_LL_Eatl_Med
1996,2,4,5,2,0.5,0,0.22,JPN_LL_Eatl_Med
1997,2,4,5,2,0.53,0,0.21,JPN_LL_Eatl_Med
1998,2,4,5,2,0.71,0,0.17,JPN_LL_Eatl_Med
1999,2,4,5,2,0.64,0,0.22,JPN_LL_Eatl_Med
2000,2,4,5,2,0.74,0,0.2,JPN_LL_Eatl_Med
2001,2,4,5,2,0.96,0,0.17,JPN_LL_Eatl_Med
2002,2,4,5,2,2.05,0,0.15,JPN_LL_Eatl_Med
2003,2,4,5,2,1.7,0,0.13,JPN_LL_Eatl_Med
2004,2,4,5,2,0.82,0,0.18,JPN_LL_Eatl_Med
2005,2,4,5,2,0.88,0,0.15,JPN_LL_Eatl_Med
2006,2,4,5,2,1.91,0,0.15,JPN_LL_Eatl_Med
2007,2,4,5,2,0.94,0,0.19,JPN_LL_Eatl_Med
2008,2,4,5,2,1.22,0,0.17,JPN_LL_Eatl_Med
2009,2,4,5,2,1.04,0,0.24,JPN_LL_Eatl_Med
1990,4,5,6,2,0.466170755,0,0.350610837,JPN_LL_NEAtl1
1991,4,5,6,2,0.528901418,0,0.308837337,JPN_LL_NEAtl1
1992,4,5,6,2,0.874630631,0,0.238152313,JPN_LL_NEAtl1
1993,4,5,6,2,0.738718712,0,0.219172029,JPN_LL_NEAtl1
1994,4,5,6,2,0.927516428,0,0.23245529,JPN_LL_NEAtl1
1995,4,5,6,2,0.972370748,0,0.224219355,JPN_LL_NEAtl1
1996,4,5,6,2,2.842987959,0,0.216915496,JPN_LL_NEAtl1
1997,4,5,6,2,1.507859926,0,0.240157023,JPN_LL_NEAtl1
1998,4,5,6,2,0.870352044,0,0.245012009,JPN_LL_NEAtl1
1999,4,5,6,2,1.250027883,0,0.224132225,JPN_LL_NEAtl1
2000,4,5,6,2,0.982011238,0,0.216083676,JPN_LL_NEAtl1
2001,4,5,6,2,1.825162286,0,0.20564788,JPN_LL_NEAtl1
2002,4,5,6,2,0.822201973,0,0.215144718,JPN_LL_NEAtl1
2003,4,5,6,2,1.097015519,0,0.243897912,JPN_LL_NEAtl1
2004,4,5,6,2,0.844275434,0,0.224279662,JPN_LL_NEAtl1
2005,4,5,6,2,0.75088971,0,0.214404659,JPN_LL_NEAtl1
2006,4,5,6,2,0.833204068,0,0.221996343,JPN_LL_NEAtl1
2007,4,5,6,2,0.843607292,0,0.215707362,JPN_LL_NEAtl1
2008,4,5,6,2,1.172657644,0,0.210972496,JPN_LL_NEAtl1
2009,4,5,6,2,1.499243254,0,0.207040434,JPN_LL_NEAtl1
2010,4,5,7,18,2.221986873,0,0.122942007,JPN_LL_NEAtl2
2011,4,5,7,18,4.452276888,0,0.149985347,JPN_LL_NEAtl2
2012,4,5,7,18,7.702395772,0,0.194469979,JPN_LL_NEAtl2
2013,4,5,7,18,6.109118648,0,0.158410158,JPN_LL_NEAtl2
2014,4,5,7,18,9.696321064,0,0.201921681,JPN_LL_NEAtl2
2015,4,5,7,18,5.908390339,0,0.207896928,JPN_LL_NEAtl2
2016,4,5,7,18,5.472117473,0,0.180651962,JPN_LL_NEAtl2
2017,4,5,7,18,7.190750442,0,0.207346578,JPN_LL_NEAtl2
2018,4,5,7,18,8.469661234,0,0.212780391,JPN_LL_NEAtl2
2019,4,5,7,18,8.070524219,0,0.205895386,JPN_LL_NEAtl2
1993,3,2,8,15,1.66979881,1,0.190845194,US_RR_66_114
1994,3,2,8,15,0.324263369,1,0.310104522,US_RR_66_114
1995,3,2,8,15,1.533901305,1,0.165094637,US_RR_66_114
1996,3,2,8,15,1.846743365,1,0.169428679,US_RR_66_114
1997,3,2,8,15,3.549046093,1,0.129838044,US_RR_66_114
1998,3,2,8,15,1.344329596,1,0.147731751,US_RR_66_114
1999,3,2,8,15,1.437109896,1,0.260327146,US_RR_66_114
2000,3,2,8,15,1.017308753,1,0.349872682,US_RR_66_114
2001,3,2,8,15,0.567930094,1,0.18251693,US_RR_66_114
2002,3,2,8,15,1.032135503,1,0.146384479,US_RR_66_114
2003,3,2,8,15,0.639676087,1,0.095991051,US_RR_66_114
2004,3,2,8,15,2.463206763,1,0.099339572,US_RR_66_114
2005,3,2,8,15,2.088504272,1,0.099868767,US_RR_66_114
2006,3,2,8,15,0.780649914,1,0.232441776,US_RR_66_114
2007,3,2,8,15,0.523486992,1,0.080757044,US_RR_66_114
2008,3,2,8,15,0.34903805,1,0.088757851,US_RR_66_114
2009,3,2,8,15,0.289842742,1,0.094646937,US_RR_66_114
2010,3,2,8,15,0.522495931,1,0.091758729,US_RR_66_114
2011,3,2,8,15,0.591273918,1,0.101544919,US_RR_66_114
2012,3,2,8,15,0.474798659,1,0.111411199,US_RR_66_114
2013,3,2,8,15,0.601664261,1,0.116025158,US_RR_66_114
2014,3,2,8,15,0.467290958,1,0.141413532,US_RR_66_114
2015,3,2,8,15,0.317880999,1,0.130746096,US_RR_66_114
2016,3,2,8,15,0.350141144,1,0.122771284,US_RR_66_114
2017,3,2,8,15,0.557914283,1,0.12430082,US_RR_66_114
2018,3,2,8,15,0.659568244,1,0.133994555,US_RR_66_114
1993,3,2,9,16,2.796816774,2,0.209836866,US_RR_115_144
1994,3,2,9,16,0.602457974,2,0.367761788,US_RR_115_144
1995,3,2,9,16,1.05184366,2,0.216928118,US_RR_115_144
1996,3,2,9,16,1.443632269,2,0.211165601,US_RR_115_144
1997,3,2,9,16,0.232496231,2,0.335165076,US_RR_115_144
1998,3,2,9,16,0.844056891,2,0.171369312,US_RR_115_144
1999,3,2,9,16,1.368132668,2,0.306186847,US_RR_115_144
2000,3,2,9,16,1.086507613,2,0.376583144,US_RR_115_144
2001,3,2,9,16,2.14017628,2,0.19792673,US_RR_115_144
2002,3,2,9,16,2.360482552,2,0.172404572,US_RR_115_144
2003,3,2,9,16,0.852595127,2,0.129244065,US_RR_115_144
2004,3,2,9,16,0.718114129,2,0.150927376,US_RR_115_144
2005,3,2,9,16,0.676131178,2,0.159945336,US_RR_115_144
2006,3,2,9,16,1.156404473,2,0.155840526,US_RR_115_144
2007,3,2,9,16,0.99119869,2,0.110599781,US_RR_115_144
2008,3,2,9,16,1.523146451,2,0.108878298,US_RR_115_144
2009,3,2,9,16,0.364164417,2,0.143897822,US_RR_115_144
2010,3,2,9,16,1.068481478,2,0.124614696,US_RR_115_144
2011,3,2,9,16,0.635358895,2,0.158134856,US_RR_115_144
2012,3,2,9,16,0.595485445,2,0.167680973,US_RR_115_144
2013,3,2,9,16,1.301106965,2,0.146845268,US_RR_115_144
2014,3,2,9,16,0.499782429,2,0.205348669,US_RR_115_144
2015,3,2,9,16,0.229856118,2,0.235891533,US_RR_115_144
2016,3,2,9,16,0.746485758,2,0.156498398,US_RR_115_144
2017,3,2,9,16,0.644723635,2,0.178967476,US_RR_115_144
2018,3,2,9,16,0.0703619,2,0.410535064,US_RR_115_144
1993,3,2,10,16,0.589552414,4,0.16730086,US_RR_177
1994,3,2,10,16,0.771711387,4,0.170459853,US_RR_177
1995,3,2,10,16,0.936707405,4,0.117180709,US_RR_177
1996,3,2,10,16,2.968607857,4,0.113537154,US_RR_177
1997,3,2,10,16,1.185638964,4,0.24969609,US_RR_177
1998,3,2,10,16,1.261197125,4,0.127636825,US_RR_177
1999,3,2,10,16,1.684554621,4,0.154155015,US_RR_177
2000,3,2,10,16,0.49093499,4,0.164041122,US_RR_177
2001,3,2,10,16,1.156723253,4,0.189930843,US_RR_177
2002,3,2,10,16,2.231488111,4,0.082720248,US_RR_177
2003,3,2,10,16,0.507643567,4,0.147504669,US_RR_177
2004,3,2,10,16,0.711412383,4,0.147309003,US_RR_177
2005,3,2,10,16,0.608546677,4,0.15750675,US_RR_177
2006,3,2,10,16,0.371252923,4,0.254181208,US_RR_177
2007,3,2,10,16,0.304463579,4,0.253151204,US_RR_177
2008,3,2,10,16,0.364748067,4,0.216465306,US_RR_177
2009,3,2,10,16,0.535138355,4,0.200336727,US_RR_177
2010,3,2,10,16,1.198371863,4,0.11862564,US_RR_177
2011,3,2,10,16,0.812302351,4,0.136335567,US_RR_177
2012,3,2,10,16,0.741439233,4,0.12040253,US_RR_177
2013,3,2,10,16,0.414681709,4,0.166444246,US_RR_177
2014,3,2,10,16,0.5600002,4,0.158930936,US_RR_177
2015,3,2,10,16,0.876406601,4,0.101110255,US_RR_177
2016,3,2,10,16,1.028278669,4,0.08784274,US_RR_177
2017,3,2,10,16,1.861688958,4,0.071053039,US_RR_177
2018,3,2,10,16,1.826508737,4,0.067140947,US_RR_177
1980,3,2,11,15,0.799,3,0.43,US_RR_145
1981,3,2,11,15,0.399,3,0.52,US_RR_145
1982,3,2,11,15,2.102,3,0.33,US_RR_145
1983,3,2,11,15,1.114,3,0.26,US_RR_145
1985,3,2,11,15,0.63,3,0.64,US_RR_145
1986,3,2,11,15,0.778,3,0.43,US_RR_145
1987,3,2,11,15,1.219,3,0.4,US_RR_145
1988,3,2,11,15,0.988,3,0.38,US_RR_145
1989,3,2,11,15,0.988,3,0.43,US_RR_145
1990,3,2,11,15,0.904,3,0.34,US_RR_145
1991,3,2,11,15,1.261,3,0.35,US_RR_145
1992,3,2,11,15,0.82,3,0.42,US_RR_145
1983,3,2,12,16,2.805,5,0.1,US_RR_195
1984,3,2,12,16,1.246,5,0.188,US_RR_195
1985,3,2,12,16,0.857,5,0.3,US_RR_195
1986,3,2,12,16,0.503,5,1.097,US_RR_195
1987,3,2,12,16,0.529,5,0.476,US_RR_195
1988,3,2,12,16,0.941,5,0.364,US_RR_195
1989,3,2,12,16,0.763,5,0.364,US_RR_195
1990,3,2,12,16,0.626,5,0.335,US_RR_195
1991,3,2,12,16,0.82,5,0.284,US_RR_195
1992,3,2,12,16,0.91,5,0.276,US_RR_195
1987,2,1,13,1,1.314411445,0,0.292558103,US_GOM_PLL1
1988,2,1,13,1,0.638150156,0,0.319476367,US_GOM_PLL1
1989,2,1,13,1,0.986641878,0,0.305747592,US_GOM_PLL1
1990,2,1,13,1,0.772087093,0,0.319863697,US_GOM_PLL1
1991,2,1,13,1,1.288709428,0,0.297788101,US_GOM_PLL1
1992,2,1,14,1,1.140923245,0,0.345487751,US_GOM_PLL2
1993,2,1,14,1,0.639899647,0,0.362768604,US_GOM_PLL2
1994,2,1,14,1,0.469964337,0,0.388154639,US_GOM_PLL2
1995,2,1,14,1,0.437954023,0,0.391393253,US_GOM_PLL2
1996,2,1,14,1,0.2539222,0,0.399118243,US_GOM_PLL2
1997,2,1,14,1,0.465292171,0,0.364166805,US_GOM_PLL2
1998,2,1,14,1,0.496641586,0,0.370812844,US_GOM_PLL2
1999,2,1,14,1,0.843406181,0,0.325673278,US_GOM_PLL2
2000,2,1,14,1,1.248850408,0,0.326062597,US_GOM_PLL2
2001,2,1,14,1,0.708711964,0,0.375305612,US_GOM_PLL2
2002,2,1,14,1,0.663827671,0,0.385420681,US_GOM_PLL2
2003,2,1,14,1,1.198100046,0,0.320874699,US_GOM_PLL2
2004,2,1,14,1,1.085413074,0,0.322796898,US_GOM_PLL2
2005,2,1,14,1,0.819842425,0,0.338212731,US_GOM_PLL2
2006,2,1,14,1,0.579136066,0,0.387270949,US_GOM_PLL2
2007,2,1,14,1,0.777292125,0,0.376470961,US_GOM_PLL2
2008,2,1,14,1,1.789200744,0,0.330367962,US_GOM_PLL2
2009,2,1,14,1,1.46380567,0,0.352243011,US_GOM_PLL2
2010,2,1,14,1,1.225298437,0,0.337804191,US_GOM_PLL2
2011,2,1,14,1,1.095435607,0,0.479361645,US_GOM_PLL2
2012,2,1,14,1,3.412870829,0,0.37230756,US_GOM_PLL2
2013,2,1,14,1,1.233298389,0,0.423715903,US_GOM_PLL2
2014,2,1,14,1,0.964497,0,0.435240351,US_GOM_PLL2
2015,2,1,14,1,1.022199424,0,0.467571113,US_GOM_PLL2
2016,2,1,14,1,1.106200214,0,0.470436805,US_GOM_PLL2
2017,2,1,14,1,0.821925726,0,0.484691281,US_GOM_PLL2
2018,2,1,14,1,1.03609079,0,0.5095472,US_GOM_PLL2
1974,2,1,15,2,0.968,0,0.266,JPLL_GOM
1975,2,1,15,2,0.534,0,0.205,JPLL_GOM
1976,2,1,15,2,0.666,0,0.207,JPLL_GOM
1977,2,1,15,2,0.913,0,0.216,JPLL_GOM
1978,2,1,15,2,0.876,0,0.225,JPLL_GOM
1979,2,1,15,2,1.287,0,0.283,JPLL_GOM
1980,2,1,15,2,1.158,0,0.265,JPLL_GOM
1981,2,1,15,2,0.553,0,0.239,JPLL_GOM
1976,4,2,16,2,0.389794505,0,0.407428728,JPN_LL_West1
1977,4,2,16,2,0.894704764,0,0.315272983,JPN_LL_West1
1978,4,2,16,2,0.726149672,0,0.337965045,JPN_LL_West1
1979,4,2,16,2,0.814179896,0,0.280729717,JPN_LL_West1
1980,4,2,16,2,1.388537263,0,0.279017391,JPN_LL_West1
1981,4,2,16,2,1.110932724,0,0.26228279,JPN_LL_West1
1982,4,2,16,2,0.786988382,0,0.275555217,JPN_LL_West1
1983,4,2,16,2,0.457321067,0,0.346327754,JPN_LL_West1
1984,4,2,16,2,0.674189182,0,0.290981543,JPN_LL_West1
1985,4,2,16,2,0.828073263,0,0.267622988,JPN_LL_West1
1986,4,2,16,2,0.013519753,0,1.662337236,JPN_LL_West1
1987,4,2,16,2,0.375081048,0,0.336412598,JPN_LL_West1
1988,4,2,16,2,0.344903742,0,0.37437567,JPN_LL_West1
1989,4,2,16,2,0.683268391,0,0.298835618,JPN_LL_West1
1990,4,2,16,2,0.475659718,0,0.324087016,JPN_LL_West1
1991,4,2,16,2,0.601110259,0,0.301534084,JPN_LL_West1
1992,4,2,16,2,1.087592674,0,0.265838177,JPN_LL_West1
1993,4,2,16,2,0.975367574,0,0.273416768,JPN_LL_West1
1994,4,2,16,2,0.900146116,0,0.267581621,JPN_LL_West1
1995,4,2,16,2,0.592789121,0,0.343834992,JPN_LL_West1
1996,4,2,16,2,2.208577,0,0.27025148,JPN_LL_West1
1997,4,2,16,2,1.614285733,0,0.261938098,JPN_LL_West1
1998,4,2,16,2,0.754266618,0,0.295931776,JPN_LL_West1
1999,4,2,16,2,1.121699963,0,0.260877942,JPN_LL_West1
2000,4,2,16,2,1.106298622,0,0.268120955,JPN_LL_West1
2001,4,2,16,2,0.905929501,0,0.269651534,JPN_LL_West1
2002,4,2,16,2,0.774453858,0,0.278106016,JPN_LL_West1
2003,4,2,16,2,1.204036417,0,0.288811108,JPN_LL_West1
2004,4,2,16,2,1.098626168,0,0.305054024,JPN_LL_West1
2005,4,2,16,2,0.980839155,0,0.261529501,JPN_LL_West1
2006,4,2,16,2,1.509992222,0,0.292207223,JPN_LL_West1
2007,4,2,16,2,0.956875273,0,0.410211077,JPN_LL_West1
2008,4,2,16,2,1.33628051,0,0.449453382,JPN_LL_West1
2009,4,2,16,2,2.30477776,0,0.354142126,JPN_LL_West1
2010,4,2,17,18,0.587604238,0,0.377604707,JPN_LL_West2
2011,4,2,17,18,1.997798002,0,0.264505178,JPN_LL_West2
2012,4,2,17,18,2.502243497,0,0.266821594,JPN_LL_West2
2013,4,2,17,18,1.892141711,0,0.261975115,JPN_LL_West2
2014,4,2,17,18,2.338091094,0,0.284565926,JPN_LL_West2
2015,4,2,17,18,1.434259791,0,0.26729982,JPN_LL_West2
2016,4,2,17,18,3.578370098,0,0.293876892,JPN_LL_West2
2017,4,2,17,18,3.570639187,0,0.313748241,JPN_LL_West2
2018,4,2,17,18,6.50240278,0,0.296057823,JPN_LL_West2
2019,4,2,17,18,6.087220866,0,0.285690467,JPN_LL_West2
1984,3,3,18,14,0.219,0,0.107,CAN GSL
1985,3,3,18,14,0.107,0,0.131,CAN GSL
1986,3,3,18,14,0.081,0,0.188,CAN GSL
1987,3,3,18,14,0.073,0,0.35,CAN GSL
1988,3,3,18,14,0.121,0,0.224,CAN GSL
1989,3,3,18,14,0.238,0,0.184,CAN GSL
1990,3,3,18,14,0.057,0,0.219,CAN GSL
1991,3,3,18,14,0.17,0,0.197,CAN GSL
1992,3,3,18,14,0.285,0,0.128,CAN GSL
1993,3,3,18,14,0.324,0,0.108,CAN GSL
1994,3,3,18,14,0.086,0,0.121,CAN GSL
1995,3,3,18,14,0.257,0,0.099,CAN GSL
1996,3,3,18,14,0.053,0,0.11,CAN GSL
1997,3,3,18,14,0.05,0,0.102,CAN GSL
1998,3,3,18,14,0.091,0,0.099,CAN GSL
1999,3,3,18,14,0.139,0,0.093,CAN GSL
2000,3,3,18,14,0.118,0,0.088,CAN GSL
2001,3,3,18,14,0.1,0,0.094,CAN GSL
2002,3,3,18,14,0.153,0,0.09,CAN GSL
2003,3,3,18,14,0.211,0,0.094,CAN GSL
2004,3,3,18,14,0.395,0,0.096,CAN GSL
2005,3,3,18,14,0.274,0,0.085,CAN GSL
2006,3,3,18,14,0.259,0,0.087,CAN GSL
2007,3,3,18,14,0.493,0,0.095,CAN GSL
2008,3,3,18,14,0.361,0,0.085,CAN GSL
2009,3,3,18,14,0.625,0,0.093,CAN GSL
2010,3,3,18,14,1.662,0,0.118,CAN GSL
2011,3,3,18,14,1.08,0,0.08,CAN GSL
2012,3,3,18,14,1.293,0,0.078,CAN GSL
2013,3,3,18,14,1.174,0,0.079,CAN GSL
2014,3,3,18,14,1.056,0,0.079,CAN GSL
2015,3,3,18,14,0.868,0,0.076,CAN GSL
2016,3,3,18,14,1.191,0,0.078,CAN GSL
2017,3,3,18,14,0.756,0,0.079,CAN GSL
2018,3,3,18,14,0.953,0,0.077,CAN GSL
1988,3,2,19,14,2.711,0,0.0156,CAN SWNS
1989,3,2,19,14,2.837,0,0.02253,CAN SWNS
1990,3,2,19,14,1.358,0,0.05372,CAN SWNS
1991,3,2,19,14,1.328,0,0.04339,CAN SWNS
1992,3,2,19,14,1.543,0,0.04833,CAN SWNS
1993,3,2,19,14,0.874,0,0.03302,CAN SWNS
1994,3,2,19,14,1.76,0,0.03759,CAN SWNS
1995,3,2,19,14,1.863,0,0.03029,CAN SWNS
1996,3,2,19,14,0.543,0,0.06575,CAN SWNS
1997,3,2,19,14,0.457,0,0.0802,CAN SWNS
1998,3,2,19,14,0.641,0,0.08549,CAN SWNS
1999,3,2,19,14,1.065,0,0.06447,CAN SWNS
2000,3,2,19,14,0.518,0,0.05791,CAN SWNS
2001,3,2,19,14,0.924,0,0.06097,CAN SWNS
2002,3,2,19,14,1.824,0,0.04383,CAN SWNS
2003,3,2,19,14,2.057,0,0.02497,CAN SWNS
2004,3,2,19,14,1.6,0,0.03982,CAN SWNS
2005,3,2,19,14,1.902,0,0.04534,CAN SWNS
2006,3,2,19,14,2.679,0,0.04634,CAN SWNS
2007,3,2,19,14,1.961,0,0.03899,CAN SWNS
2008,3,2,19,14,2,0,0.04053,CAN SWNS
2009,3,2,19,14,3.06,0,0.0258,CAN SWNS
2010,3,2,19,14,3.024,0,0.02404,CAN SWNS
2011,3,2,19,14,2.686,0,0.02405,CAN SWNS
2012,3,2,19,14,2.718,0,0.02574,CAN SWNS
2013,3,2,19,14,1.862,0,0.0288,CAN SWNS
2014,3,2,19,14,1.987,0,0.02463,CAN SWNS
2015,3,2,19,14,2.42,0,0.02603,CAN SWNS
2016,3,2,19,14,2.58,0,0.02638,CAN SWNS
2017,3,2,19,14,2.711,0,0.01787,CAN SWNS
