Year,Quarter,Area,qNo,Fleet,Index,lt,CV,Name,,,,,,
1985,3,6,1,3,1125.74,0,0.407,SPN_BB,,,,,,
1986,3,6,1,3,751.21,0,0.419,SPN_BB,,,,,,
1987,3,6,1,3,1008.43,0,0.415,SPN_BB,,,,,,
1988,3,6,1,3,1394.68,0,0.419,SPN_BB,,,,,,
1989,3,6,1,3,1285.6,0,0.4,SPN_BB,,,,,,
1990,3,6,1,3,986.51,0,0.407,SPN_BB,,,,,,
1991,3,6,1,3,901.2,0,0.422,SPN_BB,,,,,,
1992,3,6,1,3,695.16,0,0.427,SPN_BB,,,,,,
1993,3,6,1,3,2093.55,0,0.403,SPN_BB,,,,,,
1994,3,6,1,3,1007.03,0,0.419,SPN_BB,,,,,,
1995,3,6,1,3,1235.91,0,0.405,SPN_BB,,,,,,
1996,3,6,1,3,1739.29,0,0.398,SPN_BB,,,,,,
1997,3,6,1,3,2246.41,0,0.404,SPN_BB,,,,,,
1998,3,6,1,3,879.51,0,0.409,SPN_BB,,,,,,
1999,3,6,1,3,339.77,0,0.436,SPN_BB,,,,,,
2000,3,6,1,3,960.44,0,0.402,SPN_BB,,,,,,
2001,3,6,1,3,704.49,0,0.447,SPN_BB,,,,,,
2002,3,6,1,3,687.42,0,0.423,SPN_BB,,,,,,
2003,3,6,1,3,444.91,0,0.482,SPN_BB,,,,,,
2004,3,6,1,3,1210.46,0,0.417,SPN_BB,,,,,,
2005,3,6,1,3,2383.57,0,0.4,SPN_BB,,,,,,
2006,3,6,1,3,850.09,0,0.48,SPN_BB,,,,,,
2007,3,6,2,4,2179.982,0,0.3123,SPN_FR_BB,,,,,,
2008,3,6,2,4,2154.014,0,0.3018,SPN_FR_BB,,,,,,
2009,3,6,2,4,955.3767,0,0.3032,SPN_FR_BB,,,,,,
2010,3,6,2,4,2126.197,0,0.3066,SPN_FR_BB,,,,,,
2011,3,6,2,4,2785.474,0,0.3043,SPN_FR_BB,,,,,,
2012,3,6,2,4,2306.988,0,0.3866,SPN_FR_BB,,,,,,
2013,3,6,2,4,1569.126,0,0.4425,SPN_FR_BB,,,,,,
2014,3,6,2,4,678.2874,0,0.4114,SPN_FR_BB,,,,,,
1981,2,4,3,12,768.36,0,0.5719,MOR_SPN_TRAP,,,,,,
1982,2,4,3,12,1038.12,0,0.3463,MOR_SPN_TRAP,,,,,,
1983,2,4,3,12,1092.05,0,0.3463,MOR_SPN_TRAP,,,,,,
1984,2,4,3,12,1200.27,0,0.3463,MOR_SPN_TRAP,,,,,,
1985,2,4,3,12,814.46,0,0.3464,MOR_SPN_TRAP,,,,,,
1986,2,4,3,12,394.33,0,0.2805,MOR_SPN_TRAP,,,,,,
1987,2,4,3,12,433.53,0,0.2805,MOR_SPN_TRAP,,,,,,
1988,2,4,3,12,1014.56,0,0.2803,MOR_SPN_TRAP,,,,,,
1989,2,4,3,12,531.45,0,0.2609,MOR_SPN_TRAP,,,,,,
1990,2,4,3,12,614.37,0,0.226,MOR_SPN_TRAP,,,,,,
1991,2,4,3,12,727.86,0,0.2259,MOR_SPN_TRAP,,,,,,
1992,2,4,3,12,313.95,0,0.2263,MOR_SPN_TRAP,,,,,,
1993,2,4,3,12,325.36,0,0.2262,MOR_SPN_TRAP,,,,,,
1994,2,4,3,12,341.9,0,0.2262,MOR_SPN_TRAP,,,,,,
1995,2,4,3,12,223.43,0,0.2265,MOR_SPN_TRAP,,,,,,
1996,2,4,3,12,375.22,0,0.2462,MOR_SPN_TRAP,,,,,,
1997,2,4,3,12,992.41,0,0.2459,MOR_SPN_TRAP,,,,,,
1998,2,4,3,12,925.14,0,0.2459,MOR_SPN_TRAP,,,,,,
1999,2,4,3,12,1137.45,0,0.2459,MOR_SPN_TRAP,,,,,,
2000,2,4,3,12,739.23,0,0.2259,MOR_SPN_TRAP,,,,,,
2001,2,4,3,12,1284.62,0,0.2258,MOR_SPN_TRAP,,,,,,
2002,2,4,3,12,1130.42,0,0.2258,MOR_SPN_TRAP,,,,,,
2003,2,4,3,12,662.66,0,0.2368,MOR_SPN_TRAP,,,,,,
2004,2,4,3,12,332.36,0,0.2262,MOR_SPN_TRAP,,,,,,
2005,2,4,3,12,677.39,0,0.2259,MOR_SPN_TRAP,,,,,,
2006,2,4,3,12,633.94,0,0.226,MOR_SPN_TRAP,,,,,,
2007,2,4,3,12,1000.6,0,0.2259,MOR_SPN_TRAP,,,,,,
2008,2,4,3,12,634.18,0,0.226,MOR_SPN_TRAP,,,,,,
2009,2,4,3,12,876.71,0,0.2259,MOR_SPN_TRAP,,,,,,
2010,2,4,3,12,1042.24,0,0.2366,MOR_SPN_TRAP,,,,,,
2011,2,4,3,12,674.97,0,0.2259,MOR_SPN_TRAP,,,,,,
2012,2,4,4,13,95.37025,0,0.3357276,MOR_POR_TRAP,,,,,,
2013,2,4,4,13,126.72665,0,0.3729558,MOR_POR_TRAP,,,,,,
2014,2,4,4,13,62.88402,0,0.3648213,MOR_POR_TRAP,,,,,,
2015,2,4,4,13,98.23447,0,0.3774023,MOR_POR_TRAP,,,,,,
2016,2,4,4,13,94.28732,0,0.3880496,MOR_POR_TRAP,,,,,,
2017,2,4,4,13,110.34084,0,0.3945722,MOR_POR_TRAP,,,,,,
2018,2,4,4,13,71.89984,0,0.3921163,MOR_POR_TRAP,,,,,,
2019,2,4,4,13,99.88115,0,0.3751483,MOR_POR_TRAP,,,,,,
2020,2,4,4,13,104.12533,0,0.3589443,MOR_POR_TRAP,,,,,,
1975,2,4,5,2,1.9,0,0.15,JPN_LL_Eatl_Med,,,,,,
1976,2,4,5,2,2.15,0,0.12,JPN_LL_Eatl_Med,,,,,,
1977,2,4,5,2,3.53,0,0.14,JPN_LL_Eatl_Med,,,,,,
1978,2,4,5,2,1.5,0,0.15,JPN_LL_Eatl_Med,,,,,,
1979,2,4,5,2,2.7,0,0.14,JPN_LL_Eatl_Med,,,,,,
1980,2,4,5,2,1.69,0,0.16,JPN_LL_Eatl_Med,,,,,,
1981,2,4,5,2,1.63,0,0.17,JPN_LL_Eatl_Med,,,,,,
1982,2,4,5,2,3.32,0,0.13,JPN_LL_Eatl_Med,,,,,,
1983,2,4,5,2,2.12,0,0.13,JPN_LL_Eatl_Med,,,,,,
1984,2,4,5,2,1.62,0,0.12,JPN_LL_Eatl_Med,,,,,,
1985,2,4,5,2,1.75,0,0.15,JPN_LL_Eatl_Med,,,,,,
1986,2,4,5,2,1.32,0,0.14,JPN_LL_Eatl_Med,,,,,,
1987,2,4,5,2,2.16,0,0.13,JPN_LL_Eatl_Med,,,,,,
1988,2,4,5,2,1.35,0,0.14,JPN_LL_Eatl_Med,,,,,,
1989,2,4,5,2,1.05,0,0.16,JPN_LL_Eatl_Med,,,,,,
1990,2,4,5,2,1.41,0,0.14,JPN_LL_Eatl_Med,,,,,,
1991,2,4,5,2,1.21,0,0.13,JPN_LL_Eatl_Med,,,,,,
1992,2,4,5,2,1.03,0,0.14,JPN_LL_Eatl_Med,,,,,,
1993,2,4,5,2,1.04,0,0.14,JPN_LL_Eatl_Med,,,,,,
1994,2,4,5,2,1.12,0,0.16,JPN_LL_Eatl_Med,,,,,,
1995,2,4,5,2,1.42,0,0.15,JPN_LL_Eatl_Med,,,,,,
1996,2,4,5,2,0.5,0,0.22,JPN_LL_Eatl_Med,,,,,,
1997,2,4,5,2,0.53,0,0.21,JPN_LL_Eatl_Med,,,,,,
1998,2,4,5,2,0.71,0,0.17,JPN_LL_Eatl_Med,,,,,,
1999,2,4,5,2,0.64,0,0.22,JPN_LL_Eatl_Med,,,,,,
2000,2,4,5,2,0.74,0,0.2,JPN_LL_Eatl_Med,,,,,,
2001,2,4,5,2,0.96,0,0.17,JPN_LL_Eatl_Med,,,,,,
2002,2,4,5,2,2.05,0,0.15,JPN_LL_Eatl_Med,,,,,,
2003,2,4,5,2,1.7,0,0.13,JPN_LL_Eatl_Med,,,,,,
2004,2,4,5,2,0.82,0,0.18,JPN_LL_Eatl_Med,,,,,,
2005,2,4,5,2,0.88,0,0.15,JPN_LL_Eatl_Med,,,,,,
2006,2,4,5,2,1.91,0,0.15,JPN_LL_Eatl_Med,,,,,,
2007,2,4,5,2,0.94,0,0.19,JPN_LL_Eatl_Med,,,,,,
2008,2,4,5,2,1.22,0,0.17,JPN_LL_Eatl_Med,,,,,,
2009,2,4,5,2,1.04,0,0.24,JPN_LL_Eatl_Med,,,,,,
1990,4,5,6,2,0.466170755,0,0.350610837,JPN_LL_NEAtl1,,,,,,
1991,4,5,6,2,0.528901418,0,0.308837337,JPN_LL_NEAtl1,,,,,,
1992,4,5,6,2,0.874630631,0,0.238152313,JPN_LL_NEAtl1,,,,,,
1993,4,5,6,2,0.738718712,0,0.219172029,JPN_LL_NEAtl1,,,,,,
1994,4,5,6,2,0.927516428,0,0.23245529,JPN_LL_NEAtl1,,,,,,
1995,4,5,6,2,0.972370748,0,0.224219355,JPN_LL_NEAtl1,,,,,,
1996,4,5,6,2,2.842987959,0,0.216915496,JPN_LL_NEAtl1,,,,,,
1997,4,5,6,2,1.507859926,0,0.240157023,JPN_LL_NEAtl1,,,,,,
1998,4,5,6,2,0.870352044,0,0.245012009,JPN_LL_NEAtl1,,,,,,
1999,4,5,6,2,1.250027883,0,0.224132225,JPN_LL_NEAtl1,,,,,,
2000,4,5,6,2,0.982011238,0,0.216083676,JPN_LL_NEAtl1,,,,,,
2001,4,5,6,2,1.825162286,0,0.20564788,JPN_LL_NEAtl1,,,,,,
2002,4,5,6,2,0.822201973,0,0.215144718,JPN_LL_NEAtl1,,,,,,
2003,4,5,6,2,1.097015519,0,0.243897912,JPN_LL_NEAtl1,,,,,,
2004,4,5,6,2,0.844275434,0,0.224279662,JPN_LL_NEAtl1,,,,,,
2005,4,5,6,2,0.75088971,0,0.214404659,JPN_LL_NEAtl1,,,,,,
2006,4,5,6,2,0.833204068,0,0.221996343,JPN_LL_NEAtl1,,,,,,
2007,4,5,6,2,0.843607292,0,0.215707362,JPN_LL_NEAtl1,,,,,,
2008,4,5,6,2,1.172657644,0,0.210972496,JPN_LL_NEAtl1,,,,,,
2009,4,5,6,2,1.499243254,0,0.207040434,JPN_LL_NEAtl1,,,,,,
2010,4,5,7,18,2.343148301,0,0.122942007,JPN_LL_NEAtl2,,,,,,
2011,4,5,7,18,4.049702848,0,0.149985347,JPN_LL_NEAtl2,,,,,,
2012,4,5,7,18,8.624054777,0,0.194469979,JPN_LL_NEAtl2,,,,,,
2013,4,5,7,18,7.252742577,0,0.158410158,JPN_LL_NEAtl2,,,,,,
2014,4,5,7,18,8.190196113,0,0.201921681,JPN_LL_NEAtl2,,,,,,
2015,4,5,7,18,6.410459606,0,0.207896928,JPN_LL_NEAtl2,,,,,,
2016,4,5,7,18,5.723795266,0,0.180651962,JPN_LL_NEAtl2,,,,,,
2017,4,5,7,18,7.318534767,0,0.207346578,JPN_LL_NEAtl2,,,,,,
2018,4,5,7,18,8.788388347,0,0.212780391,JPN_LL_NEAtl2,,,,,,
2019,4,5,7,18,8.374231158,0,0.205895386,JPN_LL_NEAtl2,,,,,,
1995,3,2,8,15,1.33,1,0.15,US_RR_66_114,,,,,,
1996,3,2,8,15,1.34,1,0.15,US_RR_66_114,,,,,,
1997,3,2,8,15,2.69,1,0.12,US_RR_66_114,,,,,,
1998,3,2,8,15,0.97,1,0.12,US_RR_66_114,,,,,,
1999,3,2,8,15,0.79,1,0.21,US_RR_66_114,,,,,,
2000,3,2,8,15,1.16,1,0.21,US_RR_66_114,,,,,,
2001,3,2,8,15,0.47,1,0.14,US_RR_66_114,,,,,,
2002,3,2,8,15,0.97,1,0.18,US_RR_66_114,,,,,,
2003,3,2,8,15,0.58,1,0.11,US_RR_66_114,,,,,,
2004,3,2,8,15,1.77,1,0.11,US_RR_66_114,,,,,,
2005,3,2,8,15,1.68,1,0.12,US_RR_66_114,,,,,,
2006,3,2,8,15,0.64,1,0.19,US_RR_66_114,,,,,,
2007,3,2,8,15,0.54,1,0.11,US_RR_66_114,,,,,,
2008,3,2,8,15,0.34,1,0.13,US_RR_66_114,,,,,,
2009,3,2,8,15,0.54,1,0.14,US_RR_66_114,,,,,,
2010,3,2,8,15,0.63,1,0.13,US_RR_66_114,,,,,,
2011,3,2,8,15,0.81,1,0.14,US_RR_66_114,,,,,,
2012,3,2,8,15,0.96,1,0.15,US_RR_66_114,,,,,,
2013,3,2,8,15,0.99,1,0.15,US_RR_66_114,,,,,,
2014,3,2,8,15,0.82,1,0.18,US_RR_66_114,,,,,,
2015,3,2,8,15,0.43,1,0.17,US_RR_66_114,,,,,,
2016,3,2,8,15,0.46,1,0.18,US_RR_66_114,,,,,,
2017,3,2,8,15,0.96,1,0.17,US_RR_66_114,,,,,,
2018,3,2,8,15,0.82,1,0.18,US_RR_66_114,,,,,,
2019,3,2,8,15,1.23,1,0.15,US_RR_66_114,,,,,,
2020,3,2,8,15,2.07,1,0.17,US_RR_66_114,,,,,,
1995,3,2,9,15,0.86,2,0.2,US_RR_115_144,,,,,,
1996,3,2,9,15,1.18,2,0.2,US_RR_115_144,,,,,,
1997,3,2,9,15,0.3,2,0.22,US_RR_115_144,,,,,,
1998,3,2,9,15,0.79,2,0.17,US_RR_115_144,,,,,,
1999,3,2,9,15,1.26,2,0.26,US_RR_115_144,,,,,,
2000,3,2,9,15,0.84,2,0.3,US_RR_115_144,,,,,,
2001,3,2,9,15,1.7,2,0.16,US_RR_115_144,,,,,,
2002,3,2,9,15,1.56,2,0.22,US_RR_115_144,,,,,,
2003,3,2,9,15,0.81,2,0.14,US_RR_115_144,,,,,,
2004,3,2,9,15,0.9,2,0.15,US_RR_115_144,,,,,,
2005,3,2,9,15,0.86,2,0.18,US_RR_115_144,,,,,,
2006,3,2,9,15,1.01,2,0.25,US_RR_115_144,,,,,,
2007,3,2,9,15,1.19,2,0.13,US_RR_115_144,,,,,,
2008,3,2,9,15,1.81,2,0.13,US_RR_115_144,,,,,,
2009,3,2,9,15,0.68,2,0.2,US_RR_115_144,,,,,,
2010,3,2,9,15,1.74,2,0.15,US_RR_115_144,,,,,,
2011,3,2,9,15,0.59,2,0.2,US_RR_115_144,,,,,,
2012,3,2,9,15,0.52,2,0.24,US_RR_115_144,,,,,,
2013,3,2,9,15,2.36,2,0.18,US_RR_115_144,,,,,,
2014,3,2,9,15,0.81,2,0.24,US_RR_115_144,,,,,,
2015,3,2,9,15,0.26,2,0.28,US_RR_115_144,,,,,,
2016,3,2,9,15,1.03,2,0.21,US_RR_115_144,,,,,,
2017,3,2,9,15,0.87,2,0.24,US_RR_115_144,,,,,,
2018,3,2,9,15,0.11,2,0.54,US_RR_115_144,,,,,,
2019,3,2,9,15,1.72,2,0.2,US_RR_115_144,,,,,,
2020,3,2,9,15,0.24,2,0.42,US_RR_115_144,,,,,,
1993,3,2,10,16,0.530424042,,0.133214495,US_RR_177,,,,,,
1994,3,2,10,16,0.614892031,,0.167218197,US_RR_177,,,,,,
1995,3,2,10,16,1.663545983,,0.266159916,US_RR_177,,,,,,
1996,3,2,10,16,2.735355637,,0.314005226,US_RR_177,,,,,,
1997,3,2,10,16,1.168453935,,0.212099524,US_RR_177,,,,,,
1998,3,2,10,16,1.576916677,,0.263819984,US_RR_177,,,,,,
1999,3,2,10,16,1.563976226,,0.247139295,US_RR_177,,,,,,
2000,3,2,10,16,0.973109603,,0.180737186,US_RR_177,,,,,,
2001,3,2,10,16,2.003491606,,0.293713793,US_RR_177,,,,,,
2002,3,2,10,16,1.876543363,,0.227877828,US_RR_177,,,,,,
2003,3,2,10,16,0.543884406,,0.151314532,US_RR_177,,,,,,
2004,3,2,10,16,0.311536577,,0.142581512,US_RR_177,,,,,,
2005,3,2,10,16,0.414074857,,0.156591244,US_RR_177,,,,,,
2006,3,2,10,16,0.260686032,,0.159901737,US_RR_177,,,,,,
2007,3,2,10,16,0.273484965,,0.138047643,US_RR_177,,,,,,
2008,3,2,10,16,0.247469337,,0.143542327,US_RR_177,,,,,,
2009,3,2,10,16,0.289234178,,0.138379152,US_RR_177,,,,,,
2010,3,2,10,16,0.62002308,,0.178734293,US_RR_177,,,,,,
2011,3,2,10,16,0.739494392,,0.180335765,US_RR_177,,,,,,
2012,3,2,10,16,0.538451101,,0.177050251,US_RR_177,,,,,,
2013,3,2,10,16,0.388928993,,0.142233445,US_RR_177,,,,,,
2014,3,2,10,16,0.454849538,,0.148699597,US_RR_177,,,,,,
2015,3,2,10,16,0.800580216,,0.187659207,US_RR_177,,,,,,
2016,3,2,10,16,1.074957851,,0.215490799,US_RR_177,,,,,,
2017,3,2,10,16,1.538920889,,0.271225544,US_RR_177,,,,,,
2018,3,2,10,16,1.537659493,,0.272352564,US_RR_177,,,,,,
2019,3,2,10,16,1.755741824,,0.303337879,US_RR_177,,,,,,
2020,3,2,10,16,1.503313169,,0.271546556,US_RR_177,,,,,,
1980,3,2,11,15,0.799,3,0.43,US_RR_145,,,,,,
1981,3,2,11,15,0.399,3,0.52,US_RR_145,,,,,,
1982,3,2,11,15,2.102,3,0.33,US_RR_145,,,,,,
1983,3,2,11,15,1.114,3,0.26,US_RR_145,,,,,,
1985,3,2,11,15,0.63,3,0.64,US_RR_145,,,,,,
1986,3,2,11,15,0.778,3,0.43,US_RR_145,,,,,,
1987,3,2,11,15,1.219,3,0.4,US_RR_145,,,,,,
1988,3,2,11,15,0.988,3,0.38,US_RR_145,,,,,,
1989,3,2,11,15,0.988,3,0.43,US_RR_145,,,,,,
1990,3,2,11,15,0.904,3,0.34,US_RR_145,,,,,,
1991,3,2,11,15,1.261,3,0.35,US_RR_145,,,,,,
1992,3,2,11,15,0.82,3,0.42,US_RR_145,,,,,,
1983,3,2,12,16,2.805,5,0.1,US_RR_195,,,,,,
1984,3,2,12,16,1.246,5,0.188,US_RR_195,,,,,,
1985,3,2,12,16,0.857,5,0.3,US_RR_195,,,,,,
1986,3,2,12,16,0.503,5,1.097,US_RR_195,,,,,,
1987,3,2,12,16,0.529,5,0.476,US_RR_195,,,,,,
1988,3,2,12,16,0.941,5,0.364,US_RR_195,,,,,,
1989,3,2,12,16,0.763,5,0.364,US_RR_195,,,,,,
1990,3,2,12,16,0.626,5,0.335,US_RR_195,,,,,,
1991,3,2,12,16,0.82,5,0.284,US_RR_195,,,,,,
1992,3,2,12,16,0.91,5,0.276,US_RR_195,,,,,,
1987,2,1,13,1,1.314411445,0,0.292558103,US_GOM_PLL1,,,,,,
1988,2,1,13,1,0.638150156,0,0.319476367,US_GOM_PLL1,,,,,,
1989,2,1,13,1,0.986641878,0,0.305747592,US_GOM_PLL1,,,,,,
1990,2,1,13,1,0.772087093,0,0.319863697,US_GOM_PLL1,,,,,,
1991,2,1,13,1,1.288709428,0,0.297788101,US_GOM_PLL1,,,,,,
1992,2,1,14,1,1.14,0,0.35,US_GOM_PLL2,,,,,,
1993,2,1,14,1,0.64,0,0.36,US_GOM_PLL2,,,,,,
1994,2,1,14,1,0.47,0,0.39,US_GOM_PLL2,,,,,,
1995,2,1,14,1,0.44,0,0.39,US_GOM_PLL2,,,,,,
1996,2,1,14,1,0.25,0,0.4,US_GOM_PLL2,,,,,,
1997,2,1,14,1,0.47,0,0.36,US_GOM_PLL2,,,,,,
1998,2,1,14,1,0.5,0,0.37,US_GOM_PLL2,,,,,,
1999,2,1,14,1,0.84,0,0.33,US_GOM_PLL2,,,,,,
2000,2,1,14,1,1.25,0,0.33,US_GOM_PLL2,,,,,,
2001,2,1,14,1,0.71,0,0.38,US_GOM_PLL2,,,,,,
2002,2,1,14,1,0.66,0,0.39,US_GOM_PLL2,,,,,,
2003,2,1,14,1,1.2,0,0.32,US_GOM_PLL2,,,,,,
2004,2,1,14,1,1.09,0,0.32,US_GOM_PLL2,,,,,,
2005,2,1,14,1,0.82,0,0.34,US_GOM_PLL2,,,,,,
2006,2,1,14,1,0.58,0,0.39,US_GOM_PLL2,,,,,,
2007,2,1,14,1,0.77,0,0.38,US_GOM_PLL2,,,,,,
2008,2,1,14,1,1.79,0,0.33,US_GOM_PLL2,,,,,,
2009,2,1,14,1,1.47,0,0.35,US_GOM_PLL2,,,,,,
2010,2,1,14,1,1.23,0,0.34,US_GOM_PLL2,,,,,,
2011,2,1,14,1,1.1,0,0.48,US_GOM_PLL2,,,,,,
2012,2,1,14,1,3.42,0,0.37,US_GOM_PLL2,,,,,,
2013,2,1,14,1,1.24,0,0.42,US_GOM_PLL2,,,,,,
2014,2,1,14,1,0.96,0,0.44,US_GOM_PLL2,,,,,,
2015,2,1,14,1,1.03,0,0.47,US_GOM_PLL2,,,,,,
2016,2,1,14,1,1.1,0,0.47,US_GOM_PLL2,,,,,,
2017,2,1,14,1,0.82,0,0.48,US_GOM_PLL2,,,,,,
2018,2,1,14,1,1.04,0,0.51,US_GOM_PLL2,,,,,,
2019,2,1,14,1,0.62,0,0.59,US_GOM_PLL2,,,,,,
2020,2,1,14,1,1.21,0,0.59,US_GOM_PLL2,,,,,,
1974,2,1,15,2,0.968,0,0.266,JPLL_GOM,,,,,,
1975,2,1,15,2,0.534,0,0.205,JPLL_GOM,,,,,,
1976,2,1,15,2,0.666,0,0.207,JPLL_GOM,,,,,,
1977,2,1,15,2,0.913,0,0.216,JPLL_GOM,,,,,,
1978,2,1,15,2,0.876,0,0.225,JPLL_GOM,,,,,,
1979,2,1,15,2,1.287,0,0.283,JPLL_GOM,,,,,,
1980,2,1,15,2,1.158,0,0.265,JPLL_GOM,,,,,,
1981,2,1,15,2,0.553,0,0.239,JPLL_GOM,,,,,,
1976,4,2,16,2,0.379819404,0,0.440979739,JPN_LL_West1,,,,,,
1977,4,2,16,2,0.974354363,0,0.340808822,JPN_LL_West1,,,,,,
1978,4,2,16,2,0.779458754,0,0.368205174,JPN_LL_West1,,,,,,
1979,4,2,16,2,0.829010826,0,0.308824844,JPN_LL_West1,,,,,,
1980,4,2,16,2,1.484571021,0,0.305880795,JPN_LL_West1,,,,,,
1981,4,2,16,2,1.20568624,0,0.289936504,JPN_LL_West1,,,,,,
1982,4,2,16,2,0.843919444,0,0.303255908,JPN_LL_West1,,,,,,
1983,4,2,16,2,0.491472226,0,0.372724953,JPN_LL_West1,,,,,,
1984,4,2,16,2,0.727442478,0,0.317940509,JPN_LL_West1,,,,,,
1985,4,2,16,2,0.911997985,0,0.294778436,JPN_LL_West1,,,,,,
1986,4,2,16,2,0.014218387,0,1.747446787,JPN_LL_West1,,,,,,
1987,4,2,16,2,0.412317979,0,0.362360217,JPN_LL_West1,,,,,,
1988,4,2,16,2,0.35952103,0,0.407311589,JPN_LL_West1,,,,,,
1989,4,2,16,2,0.743043431,0,0.325506798,JPN_LL_West1,,,,,,
1990,4,2,16,2,0.513954032,0,0.350578918,JPN_LL_West1,,,,,,
1991,4,2,16,2,0.634500694,0,0.328967192,JPN_LL_West1,,,,,,
1992,4,2,16,2,1.123140709,0,0.293956341,JPN_LL_West1,,,,,,
1993,4,2,16,2,1.058771903,0,0.300463382,JPN_LL_West1,,,,,,
1994,4,2,16,2,0.979863906,0,0.294976204,JPN_LL_West1,,,,,,
1995,4,2,16,2,0.672463389,0,0.366516411,JPN_LL_West1,,,,,,
1996,4,2,16,2,2.323392184,0,0.297569332,JPN_LL_West1,,,,,,
1997,4,2,16,2,1.710740155,0,0.289616478,JPN_LL_West1,,,,,,
1998,4,2,16,2,0.792978642,0,0.322991062,JPN_LL_West1,,,,,,
1999,4,2,16,2,1.164791797,0,0.28906068,JPN_LL_West1,,,,,,
2000,4,2,16,2,1.139793109,0,0.296067519,JPN_LL_West1,,,,,,
2001,4,2,16,2,0.95064799,0,0.297296232,JPN_LL_West1,,,,,,
2002,4,2,16,2,0.852875938,0,0.305369003,JPN_LL_West1,,,,,,
2003,4,2,16,2,1.275160881,0,0.315797302,JPN_LL_West1,,,,,,
2004,4,2,16,2,1.176511789,0,0.332011762,JPN_LL_West1,,,,,,
2005,4,2,16,2,1.100724757,0,0.288598889,JPN_LL_West1,,,,,,
2006,4,2,16,2,1.598805836,0,0.318512956,JPN_LL_West1,,,,,,
2007,4,2,16,2,0.954451103,0,0.438416495,JPN_LL_West1,,,,,,
2008,4,2,16,2,1.422203205,0,0.469938038,JPN_LL_West1,,,,,,
2009,4,2,16,2,2.397394412,0,0.379113597,JPN_LL_West1,,,,,,
2010,4,2,17,18,0.179008799,0,0.40738762,JPN_LL_West2,,,,,,
2011,4,2,17,18,0.643398676,0,0.291776947,JPN_LL_West2,,,,,,
2012,4,2,17,18,0.819814534,0,0.294368989,JPN_LL_West2,,,,,,
2013,4,2,17,18,0.651948126,0,0.289385147,JPN_LL_West2,,,,,,
2014,4,2,17,18,0.691708197,0,0.310409337,JPN_LL_West2,,,,,,
2015,4,2,17,18,0.446184004,0,0.294958495,JPN_LL_West2,,,,,,
2016,4,2,17,18,1.042479206,0,0.319862143,JPN_LL_West2,,,,,,
2017,4,2,17,18,1.114151892,0,0.339046489,JPN_LL_West2,,,,,,
2018,4,2,17,18,2.14535216,0,0.322660173,JPN_LL_West2,,,,,,
2019,4,2,17,18,1.884263476,0,0.312167253,JPN_LL_West2,,,,,,
2020,4,2,17,18,1.381690929,0,0.343986385,JPN_LL_West2,,,,,,
1988,3,3,18,14,0.027,0,0.34,CAN GSL,,,,,,
1989,3,3,18,14,0.025,0,0.353,CAN GSL,,,,,,
1990,3,3,18,14,0.013,0,0.319,CAN GSL,,,,,,
1991,3,3,18,14,0.013,0,0.39,CAN GSL,,,,,,
