"Year","Quarter","Area","Fleet","Catch"
1996,4,1,1,1.34286
1997,4,1,1,1.24837
1998,4,1,1,6.02931
1999,4,1,1,15.77707
2000,4,1,1,0.25484
2001,4,1,1,2.14677
2002,4,1,1,4.10418
2003,4,1,1,2.06989
2004,4,1,1,3.48383
2005,4,1,1,1.08864
2006,4,1,1,5.00829
2007,4,1,1,2.11145
2008,4,1,1,0.13152
2009,4,1,1,1.38282
2010,4,1,1,1.40077
2011,4,1,1,2.13678
2012,4,1,1,7.06221
2013,4,1,1,3.40304
2014,4,1,1,5.00093
2015,4,1,1,1.88192
2016,4,1,1,1.73646
1952,1,2,1,1.75
1953,1,2,1,0.25
1955,1,2,1,1.25
1957,1,2,1,4
1958,1,2,1,10
1959,1,2,1,20.75
1960,1,2,1,0.25
1962,1,2,1,6.5
1963,1,2,1,24
1964,1,2,1,25.44965
1965,1,2,1,54.84297
1966,1,2,1,127.34452
1967,1,2,1,593.80672
1968,1,2,1,359.01492
1969,1,2,1,117.5
1970,1,2,1,50.00588
1971,1,2,1,2.08464
1972,1,2,1,0.62377
1973,1,2,1,1.95382
1974,1,2,1,5.57823
1975,1,2,1,1.76959
1976,1,2,1,7.36236
1977,1,2,1,12.8718
1978,1,2,1,19.07429
1979,1,2,1,9.45316
1980,1,2,1,1.34929
1982,1,2,1,20.4203
1983,1,2,1,1
1985,1,2,1,0.25
1986,1,2,1,32.66667
1987,1,2,1,45.99343
1988,1,2,1,123.56404
1989,1,2,1,80.76207
1990,1,2,1,74.64321
1991,1,2,1,28.07064
1992,1,2,1,66.28566
1993,1,2,1,30.93781
1994,1,2,1,39.17385
1995,1,2,1,23.64687
1996,1,2,1,28.95714
1997,1,2,1,14.48366
1998,1,2,1,12
1999,1,2,1,443.1702
2000,1,2,1,280.19368
2001,1,2,1,53.76165
2002,1,2,1,35.17434
2003,1,2,1,36.50803
2004,1,2,1,17.71849
2005,1,2,1,70.14848
2006,1,2,1,59.73087
2007,1,2,1,55.23158
2008,1,2,1,27.88242
2009,1,2,1,71.37553
2010,1,2,1,91.87809
2011,1,2,1,39.38411
2012,1,2,1,105.692
2013,1,2,1,84.59429
2014,1,2,1,70.206
2015,1,2,1,10.66938
2016,1,2,1,12.941
1952,2,2,1,1.75
1953,2,2,1,0.25
1955,2,2,1,1.25
1957,2,2,1,4
1958,2,2,1,10
1959,2,2,1,20.75
1960,2,2,1,0.25
1962,2,2,1,6.5
1963,2,2,1,24
1964,2,2,1,24.75
1965,2,2,1,54.5
1966,2,2,1,140.62184
1967,2,2,1,601.77312
1968,2,2,1,347.71429
1969,2,2,1,120.5625
1970,2,2,1,50.37005
1971,2,2,1,6.56841
1972,2,2,1,21.65996
1973,2,2,1,30.80452
1974,2,2,1,48.61076
1975,2,2,1,33.55925
1976,2,2,1,153.03826
1977,2,2,1,5.1254
1978,2,2,1,22.77424
1979,2,2,1,34.30573
1980,2,2,1,21.19005
1981,2,2,1,21.58744
1982,2,2,1,17.18842
1983,2,2,1,10.93586
1984,2,2,1,9.7692
1985,2,2,1,11.40384
1986,2,2,1,50.2308
1987,2,2,1,50.26997
1988,2,2,1,86.64078
1989,2,2,1,53.83264
1990,2,2,1,7.86764
1991,2,2,1,36.50817
1992,2,2,1,66.78233
1993,2,2,1,54.37483
1994,2,2,1,45.79016
1995,2,2,1,62.57773
1996,2,2,1,99.83366
1997,2,2,1,51.32596
1998,2,2,1,40.28572
1999,2,2,1,42.27736
2000,2,2,1,20.64221
2001,2,2,1,34.46575
2002,2,2,1,106.02838
2003,2,2,1,51.00563
2004,2,2,1,92.62043
2005,2,2,1,62.41865
2006,2,2,1,106.03804
2007,2,2,1,47.4964
2008,2,2,1,66.66381
2009,2,2,1,70.90999
2010,2,2,1,65.53475
2011,2,2,1,134.18781
2012,2,2,1,50.5171
2013,2,2,1,56.92118
2014,2,2,1,90.50865
2015,2,2,1,25.59422
2016,2,2,1,66.77879
1952,3,2,1,1.75
1953,3,2,1,0.25
1955,3,2,1,1.25
1957,3,2,1,4
1958,3,2,1,10
1959,3,2,1,20.75
1960,3,2,1,0.25
1962,3,2,1,30.51327
1963,3,2,1,195.89029
1964,3,2,1,213.95726
1965,3,2,1,147.24865
1966,3,2,1,179.27732
1967,3,2,1,624.96636
1968,3,2,1,346.27079
1969,3,2,1,118.42969
1970,3,2,1,51.4038
1971,3,2,1,6.34694
1972,3,2,1,0.90099
1973,3,2,1,0.18904
1974,3,2,1,4.13073
1975,3,2,1,2.66667
1976,3,2,1,87.91845
1977,3,2,1,26.22796
1978,3,2,1,31.47451
1979,3,2,1,41.86922
1980,3,2,1,5.63532
1981,3,2,1,4.87693
1982,3,2,1,0.2174
1983,3,2,1,44.67949
1984,3,2,1,48.84616
1985,3,2,1,116.17304
1986,3,2,1,251.15384
1987,3,2,1,22.80591
1988,3,2,1,52.54344
1989,3,2,1,30.59766
1990,3,2,1,31.12864
1991,3,2,1,37.04166
1992,3,2,1,43.47536
1993,3,2,1,37.95745
1994,3,2,1,18.92969
1995,3,2,1,45.39632
1996,3,2,1,34.18155
1997,3,2,1,29.59559
1998,3,2,1,25.38273
1999,3,2,1,38.14636
2000,3,2,1,46.54089
2001,3,2,1,26.54083
2002,3,2,1,72.47448
2003,3,2,1,43.3633
2004,3,2,1,56.16573
2005,3,2,1,40.04938
2006,3,2,1,69.37916
2007,3,2,1,34.40376
2008,3,2,1,29.48244
2009,3,2,1,118.32956
2010,3,2,1,82.89022
2011,3,2,1,101.18711
2012,3,2,1,51.73342
2013,3,2,1,44.57595
2014,3,2,1,46.89319
2015,3,2,1,44.9494
2016,3,2,1,40.2484
1952,4,2,1,1.75
1953,4,2,1,0.25
1955,4,2,1,1.25
1957,4,2,1,4
1958,4,2,1,10
1959,4,2,1,20.75
1960,4,2,1,0.25
1962,4,2,1,88.48674
1963,4,2,1,123.10972
1964,4,2,1,38.84309
1965,4,2,1,61.40838
1966,4,2,1,156.75632
1967,4,2,1,611.4538
1968,4,2,1,340
1969,4,2,1,120.50782
1970,4,2,1,50.22027
1972,4,2,1,11.34653
1973,4,2,1,25
1974,4,2,1,20.68027
1975,4,2,1,8
1976,4,2,1,28.41778
1977,4,2,1,51.15385
1978,4,2,1,9.99793
1979,4,2,1,6.37187
1981,4,2,1,1.74615
1982,4,2,1,0.17391
1985,4,2,1,3.25
1986,4,2,1,2.33333
1987,4,2,1,6.92647
1988,4,2,1,24.78113
1989,4,2,1,91.93234
1990,4,2,1,13.42992
1991,4,2,1,13.14684
1992,4,2,1,35.11087
1993,4,2,1,42.31831
1994,4,2,1,40.12594
1995,4,2,1,26.45333
1996,4,2,1,14.59908
1997,4,2,1,42.93469
1998,4,2,1,80.33155
1999,4,2,1,58.58266
2000,4,2,1,91.20174
2001,4,2,1,31.91272
2002,4,2,1,49.57588
2003,4,2,1,105.12371
2004,4,2,1,84.20161
2005,4,2,1,50.2428
2006,4,2,1,61.48217
2007,4,2,1,67.82641
2008,4,2,1,95.29635
2009,4,2,1,80.39676
2010,4,2,1,69.86211
2011,4,2,1,70.41561
2012,4,2,1,49.69991
2013,4,2,1,44.01091
2014,4,2,1,39.79659
2015,4,2,1,83.16243
2016,4,2,1,60.35234
1968,1,4,1,0.82143
1969,1,4,1,17.1601
1970,1,4,1,23.21768
1971,1,4,1,0.26087
1973,1,4,1,0.09092
1975,1,4,1,5.88484
1976,1,4,1,17.61659
1977,1,4,1,82.86813
1978,1,4,1,86.55549
1979,1,4,1,81.5
1980,1,4,1,34.4602
1981,1,4,1,22.8
1982,1,4,1,85.86667
1983,1,4,1,12.6
1984,1,4,1,5.6
1985,1,4,1,15.2
1986,1,4,1,38.45
1987,1,4,1,17.2
1988,1,4,1,2.26415
1989,1,4,1,12
1990,1,4,1,25.60001
1991,1,4,1,25.6587
1992,1,4,1,23.02335
1994,1,4,1,0.49716
1996,1,4,1,32.3606
1997,1,4,1,270.7021
1998,1,4,1,87.17043
1999,1,4,1,102.57027
2000,1,4,1,177.35733
2001,1,4,1,209.95304
2002,1,4,1,260.74322
2003,1,4,1,1.21523
2004,1,4,1,4.02171
2005,1,4,1,8.72547
2006,1,4,1,60.60915
2007,1,4,1,15.1902
2008,1,4,1,8.58929
2009,1,4,1,1.885
2013,1,4,1,0.342
2015,1,4,1,0.325
2016,1,4,1,2.77542
1968,2,4,1,1.64286
1969,2,4,1,79.67979
1970,2,4,1,19.51734
1971,2,4,1,7.56522
1972,2,4,1,1.25967
1973,2,4,1,0.45455
1974,2,4,1,0.62827
1975,2,4,1,1.21213
1976,2,4,1,20.04426
1977,2,4,1,41.7757
1978,2,4,1,28.61834
1979,2,4,1,0.3
1980,2,4,1,56.26021
1981,2,4,1,18
1982,2,4,1,8.35429
1983,2,4,1,2
1984,2,4,1,0.56686
1985,2,4,1,18.59854
1986,2,4,1,184.25
1987,2,4,1,9.61371
1988,2,4,1,0.22642
1989,2,4,1,2.6
1990,2,4,1,10.2
1991,2,4,1,118.68531
1992,2,4,1,113.3304
1993,2,4,1,130.77702
1994,2,4,1,134.45104
1995,2,4,1,381.67242
1996,2,4,1,735.0242
1997,2,4,1,743.78852
1998,2,4,1,417.82956
1999,2,4,1,181.74215
2000,2,4,1,173.65568
2001,2,4,1,288.75211
2002,2,4,1,57.12253
2003,2,4,1,9.35024
2004,2,4,1,3.429
2005,2,4,1,62.5131
2006,2,4,1,61.46551
2007,2,4,1,0.4255
2008,2,4,1,0.20067
2009,2,4,1,1.37
2012,2,4,1,7.526
2016,2,4,1,2.57557
1961,3,4,1,19
1964,3,4,1,63
1965,3,4,1,30
1966,3,4,1,31
1967,3,4,1,41
1968,3,4,1,76.71429
1969,3,4,1,101.1764
1970,3,4,1,207
1971,3,4,1,88.13044
1972,3,4,1,19.54144
1973,3,4,1,46.45454
1974,3,4,1,42.78534
1975,3,4,1,15.13003
1976,3,4,1,25.15381
1977,3,4,1,23.27827
1978,3,4,1,14.00897
1979,3,4,1,5.6342
1980,3,4,1,24.32902
1981,3,4,1,18.26005
1982,3,4,1,13.50384
1983,3,4,1,0.5201
1984,3,4,1,5.51482
1985,3,4,1,11.50299
1986,3,4,1,32.71684
1987,3,4,1,34.42286
1988,3,4,1,10.30188
1989,3,4,1,12.65013
1990,3,4,1,4.28694
1991,3,4,1,52.75846
1992,3,4,1,108.14033
1993,3,4,1,147.19597
1994,3,4,1,68.61068
1995,3,4,1,130.28293
1996,3,4,1,61.02421
1997,3,4,1,61.5
1998,3,4,1,0.21671
1999,3,4,1,0.49676
2000,3,4,1,99.54303
2001,3,4,1,95.79956
2002,3,4,1,2.25559
2003,3,4,1,25.22723
2004,3,4,1,6.72947
2005,3,4,1,21.8511
2006,3,4,1,222.22554
2007,3,4,1,2.40879
2008,3,4,1,1.02396
2016,3,4,1,0.47065
1968,4,4,1,115.82143
1969,4,4,1,0.9837
1970,4,4,1,3.26497
1971,4,4,1,1.04348
1972,4,4,1,0.1989
1974,4,4,1,4.58639
1975,4,4,1,0.77301
1976,4,4,1,12.18538
1977,4,4,1,45.14219
1978,4,4,1,26.81719
1979,4,4,1,30.5658
1980,4,4,1,6.95055
1981,4,4,1,0.93995
1982,4,4,1,34.2752
1983,4,4,1,1.8799
1984,4,4,1,31.31832
1985,4,4,1,45.14463
1986,4,4,1,13.38316
1987,4,4,1,65.16343
1988,4,4,1,5.20755
1989,4,4,1,97.14987
1990,4,4,1,5.91305
1991,4,4,1,17.89754
1992,4,4,1,23.50591
1993,4,4,1,40.02701
1994,4,4,1,32.67113
1995,4,4,1,38.71465
1996,4,4,1,42.59101
1997,4,4,1,62.00936
1998,4,4,1,0.78329
1999,4,4,1,1.37472
2000,4,4,1,99.91697
2001,4,4,1,97.1953
2002,4,4,1,0.06266
2003,4,4,1,7.24911
2004,4,4,1,1.72182
2005,4,4,1,1.37139
2006,4,4,1,23.71979
2007,4,4,1,2.85414
2008,4,4,1,1.49906
2009,4,4,1,0.732
2016,4,4,1,1.596
2001,1,5,1,36.54633
1999,2,5,1,1.82869
1965,3,5,1,2
1966,3,5,1,5
1998,3,5,1,30.57606
1999,3,5,1,56.60477
2000,3,5,1,123.62433
2001,3,5,1,71.05814
2002,3,5,1,0.43308
2003,3,5,1,2.94919
2004,3,5,1,1.903
2008,3,5,1,3.75396
2009,3,5,1,8.55515
2015,3,5,1,8.289
2016,3,5,1,75.882
1998,4,5,1,37.42394
1999,4,5,1,82.6606
2000,4,5,1,166.59567
2001,4,5,1,78.83953
2002,4,5,1,0.69992
2003,4,5,1,9.41499
2004,4,5,1,39.097
2005,4,5,1,23.695
2006,4,5,1,12.44806
2007,4,5,1,47.55748
2008,4,5,1,115.12043
2010,4,5,1,38.22
2011,4,5,1,35.92868
2012,4,5,1,38.422
2013,4,5,1,38.136
2014,4,5,1,37.1
2015,4,5,1,45.084
2016,4,5,1,133.882
1998,1,6,1,4.5
1999,1,6,1,100.9
2007,1,6,1,24.44252
2008,1,6,1,1.23911
2009,1,6,1,0.49
2014,1,6,1,5.61075
2015,1,6,1,6.74175
2016,1,6,1,0.75275
1977,2,6,1,15.12904
1998,2,6,1,4.5
1999,2,6,1,100.9
2009,2,6,1,0.92
2014,2,6,1,5.61075
2015,2,6,1,6.74175
2016,2,6,1,0.75726
1965,3,6,1,2
1966,3,6,1,5
1977,3,6,1,3.80666
1997,3,6,1,0.401
1998,3,6,1,4.5
1999,3,6,1,133.82511
2002,3,6,1,7.3
2006,3,6,1,5.89609
2008,3,6,1,9.02993
2009,3,6,1,5.69704
2012,3,6,1,0.277
2014,3,6,1,5.61075
2015,3,6,1,6.74175
2016,3,6,1,30.50317
1997,4,6,1,14
1998,4,6,1,6.5
1999,4,6,1,117.07097
2002,4,6,1,31.8
2005,4,6,1,0.29393
2006,4,6,1,23.65585
2008,4,6,1,0.1806
2009,4,6,1,27.52681
2014,4,6,1,5.61075
2015,4,6,1,6.74175
2016,4,6,1,1.71767
1963,1,7,1,200
1964,1,7,1,75
1965,1,7,1,100
1966,1,7,1,125
1967,1,7,1,75
1968,1,7,1,150
1969,1,7,1,100
1970,1,7,1,17.25
1971,1,7,1,32.25
1972,1,7,1,31
1973,1,7,1,68.5
1974,1,7,1,48.02135
1975,1,7,1,25.78762
1976,1,7,1,9.65727
1977,1,7,1,2.66765
1978,1,7,1,3.57096
1979,1,7,1,3.87613
1980,1,7,1,6.37714
1981,1,7,1,10.23802
1982,1,7,1,23.26841
1983,1,7,1,11.5084
1984,1,7,1,9.07101
1985,1,7,1,40.19535
1986,1,7,1,9.24545
1987,1,7,1,15.58112
1988,1,7,1,4.91393
1989,1,7,1,6.77006
1990,1,7,1,24.14334
1991,1,7,1,60.99699
1992,1,7,1,81.84295
1993,1,7,1,88.1957
1994,1,7,1,84.33109
1995,1,7,1,651.00677
1996,1,7,1,725.99801
1997,1,7,1,483.90113
1998,1,7,1,148.3749
1999,1,7,1,129.77842
2000,1,7,1,122.89146
2001,1,7,1,86.35786
2002,1,7,1,98.94153
2003,1,7,1,193.61055
2004,1,7,1,132.22572
2005,1,7,1,128.20838
2006,1,7,1,93.69
2007,1,7,1,206.19055
2008,1,7,1,174.38838
2009,1,7,1,42.64043
2010,1,7,1,72.09879
2011,1,7,1,52.11772
2012,1,7,1,15.44918
2013,1,7,1,15.07282
2014,1,7,1,85.78683
2015,1,7,1,65.65266
2016,1,7,1,143.26373
1963,2,7,1,200
1964,2,7,1,75
1965,2,7,1,100
1966,2,7,1,125
1967,2,7,1,75
1968,2,7,1,150
1969,2,7,1,100
1970,2,7,1,17.25
1971,2,7,1,32.25
1972,2,7,1,31
1973,2,7,1,68.5
1974,2,7,1,66.54851
1975,2,7,1,58.4307
1976,2,7,1,116.0456
1977,2,7,1,71.07154
1978,2,7,1,57.54358
1979,2,7,1,57.90065
1980,2,7,1,61.28392
1981,2,7,1,128.52386
1982,2,7,1,257.62464
1983,2,7,1,146.45562
1984,2,7,1,220.68274
1985,2,7,1,267.13351
1986,2,7,1,500.40114
1987,2,7,1,564.94688
1988,2,7,1,989.06785
1989,2,7,1,921.63788
1990,2,7,1,829.19048
1991,2,7,1,2450.21493
1992,2,7,1,2371.47994
1993,2,7,1,1185.04083
1994,2,7,1,5352.37645
1995,2,7,1,5260.43749
1996,2,7,1,6273.18145
1997,2,7,1,3251.48889
1998,2,7,1,2030.09282
1999,2,7,1,1891.03788
2000,2,7,1,2868.62582
2001,2,7,1,3515.19513
2002,2,7,1,2383.13427
2003,2,7,1,2201.70807
2004,2,7,1,1640.9195
2005,2,7,1,2365.67434
2006,2,7,1,1856.38712
2007,2,7,1,1735.36904
2008,2,7,1,1257.56099
2009,2,7,1,951.64786
2010,2,7,1,565.92753
2011,2,7,1,816.65634
2012,2,7,1,449.55936
2013,2,7,1,349.89621
2014,2,7,1,175.38767
2015,2,7,1,218.49841
2016,2,7,1,641.03252
1963,3,7,1,200
1964,3,7,1,75
1965,3,7,1,100
1966,3,7,1,125
1967,3,7,1,75
1968,3,7,1,150
1969,3,7,1,100
1970,3,7,1,17.25
1971,3,7,1,32.25
1972,3,7,1,31
1973,3,7,1,68.5
1974,3,7,1,50.43014
1975,3,7,1,30.03168
1976,3,7,1,132.17384
1977,3,7,1,40.60328
1978,3,7,1,50.58409
1979,3,7,1,54.37391
1980,3,7,1,56.98963
1981,3,7,1,135.03949
1982,3,7,1,305.75763
1983,3,7,1,126.57708
1984,3,7,1,100.15641
1985,3,7,1,42.60414
1986,3,7,1,100.9666
1987,3,7,1,108.47247
1988,3,7,1,174.04991
1989,3,7,1,278.36429
1990,3,7,1,129.82588
1991,3,7,1,396.48635
1992,3,7,1,509.17722
1993,3,7,1,337.60281
1994,3,7,1,601.63289
1995,3,7,1,1046.63466
1996,3,7,1,1230.88404
1997,3,7,1,2464.27845
1998,3,7,1,1263.58262
1999,3,7,1,650.38331
2000,3,7,1,193.48403
2001,3,7,1,292.85663
2002,3,7,1,280.19614
2003,3,7,1,545.50164
2004,3,7,1,431.80265
2005,3,7,1,337.39802
2006,3,7,1,488.0643
2007,3,7,1,619.23886
2008,3,7,1,626.66174
2009,3,7,1,271.16289
2010,3,7,1,473.64768
2011,3,7,1,61.94189
2012,3,7,1,92.21487
2013,3,7,1,149.99274
2014,3,7,1,267.25654
2015,3,7,1,311.68966
2016,3,7,1,309.08575
1963,4,7,1,200
1964,4,7,1,75
1965,4,7,1,100
1966,4,7,1,125
1967,4,7,1,75
1968,4,7,1,150
1969,4,7,1,100
1970,4,7,1,17.25
1971,4,7,1,32.25
1972,4,7,1,31
1973,4,7,1,68.5
1974,4,7,1,48
1975,4,7,1,25.75
1976,4,7,1,17.12329
1977,4,7,1,4.65753
1978,4,7,1,6.30137
1979,4,7,1,6.84931
1980,4,7,1,9.34931
1981,4,7,1,16.19863
1982,4,7,1,39.34931
1983,4,7,1,18.4589
1984,4,7,1,14.14384
1985,4,7,1,40.174
1986,4,7,1,14.41781
1987,4,7,1,5.23054
1988,4,7,1,9.06932
1989,4,7,1,30.32876
1990,4,7,1,22.7983
1991,4,7,1,64.61573
1992,4,7,1,59.71289
1993,4,7,1,66.06368
1994,4,7,1,418.65556
1995,4,7,1,698.28908
1996,4,7,1,860.52048
1997,4,7,1,928.55555
1998,4,7,1,314.02164
1999,4,7,1,286.0654
2000,4,7,1,102.9217
2001,4,7,1,97.68039
2002,4,7,1,81.83306
2003,4,7,1,224.98304
2004,4,7,1,184.66712
2005,4,7,1,201.53426
2006,4,7,1,140.43809
2007,4,7,1,242.34155
2008,4,7,1,237.6019
2009,4,7,1,60.13205
2010,4,7,1,130.42894
2011,4,7,1,31.10307
2012,4,7,1,29.30938
2013,4,7,1,89.95907
2014,4,7,1,59.9107
2015,4,7,1,188.49502
2016,4,7,1,429.78009
1964,1,1,2,22.45893
1972,1,1,2,0.23991
1975,1,1,2,32.38721
1976,1,1,2,92.40591
1977,1,1,2,315.61092
1978,1,1,2,484.15753
1979,1,1,2,713.22728
1980,1,1,2,1153.81196
1981,1,1,2,448.04686
1964,2,1,2,11.83104
1966,2,1,2,3.06773
1968,2,1,2,39.75827
1969,2,1,2,0.16089
1970,2,1,2,1.09739
1972,2,1,2,31.90807
1973,2,1,2,51.8144
1974,2,1,2,97.54444
1975,2,1,2,1201.96784
1976,2,1,2,1131.1058
1977,2,1,2,731.12144
1978,2,1,2,807.24753
1979,2,1,2,798.15852
1980,2,1,2,19.86678
1981,2,1,2,259.74791
1964,3,1,2,0.8021
1975,3,1,2,0.76656
1976,3,1,2,0.11954
1963,4,1,2,1.1653
1958,1,2,2,15.27742
1959,1,2,2,139.53836
1960,1,2,2,26.68724
1961,1,2,2,180.21348
1962,1,2,2,133.85205
1963,1,2,2,905.43724
1964,1,2,2,3913.46782
1965,1,2,2,1312.73408
1966,1,2,2,79.30654
1967,1,2,2,5.72412
1968,1,2,2,2.86718
1969,1,2,2,2.25241
1970,1,2,2,15.04989
1971,1,2,2,67.21879
1972,1,2,2,15.83408
1973,1,2,2,0.52338
1974,1,2,2,546.84243
1975,1,2,2,19.16402
1976,1,2,2,847.91094
1977,1,2,2,2190.25367
1978,1,2,2,1495.60434
1979,1,2,2,1146.66953
1980,1,2,2,1370.94742
1981,1,2,2,2270.15287
1982,1,2,2,124.06519
1983,1,2,2,326.67297
1984,1,2,2,331.07195
1985,1,2,2,1045.41147
1986,1,2,2,135.48027
1987,1,2,2,434.67875
1988,1,2,2,599.93102
1989,1,2,2,177.51394
1990,1,2,2,330.65089
1991,1,2,2,196.76155
1992,1,2,2,272.72304
1993,1,2,2,327.36986
1994,1,2,2,391.24238
1995,1,2,2,45.04169
1996,1,2,2,139.86252
1997,1,2,2,75.86325
1998,1,2,2,231.05636
1999,1,2,2,79.29191
2000,1,2,2,230.04196
2001,1,2,2,4.7794
2002,1,2,2,193.22583
2004,1,2,2,343.38163
2005,1,2,2,220.15626
2006,1,2,2,369.20043
2007,1,2,2,258.96662
2008,1,2,2,166.21114
2009,1,2,2,100.47265
2010,1,2,2,201.4382
2011,1,2,2,368.51667
2013,1,2,2,27.77333
2015,1,2,2,1.17175
1957,2,2,2,3.3913
1958,2,2,2,13.41936
1959,2,2,2,15.78554
1960,2,2,2,123.45852
1961,2,2,2,29.19738
1962,2,2,2,276.41272
1963,2,2,2,4641.96817
1964,2,2,2,7753.94412
1965,2,2,2,7666.35432
1966,2,2,2,2344.76853
1967,2,2,2,634.58762
1968,2,2,2,174.70694
1969,2,2,2,110.20807
1970,2,2,2,7.83849
1971,2,2,2,280.04622
1972,2,2,2,37.90583
1973,2,2,2,54.95468
1974,2,2,2,86.37643
1975,2,2,2,103.86903
1976,2,2,2,13.9864
1977,2,2,2,5.50345
1978,2,2,2,3.81979
1979,2,2,2,97.62213
1980,2,2,2,32.45839
1981,2,2,2,73.5412
1982,2,2,2,3.2496
1984,2,2,2,9.82919
1985,2,2,2,46.0987
1986,2,2,2,2.96622
1987,2,2,2,3.52665
2002,2,2,2,85.97714
2005,2,2,2,23.61854
2006,2,2,2,0.04047
1957,3,2,2,0.26087
1959,3,2,2,1.93596
1960,3,2,2,19.83509
1961,3,2,2,4.19101
1962,3,2,2,116.16053
1963,3,2,2,111.63564
1964,3,2,2,47.32415
1965,3,2,2,87.655
1966,3,2,2,34.54038
1967,3,2,2,19.34356
1968,3,2,2,48.55095
1969,3,2,2,0.96533
1970,3,2,2,23.82898
1971,3,2,2,964.17567
1972,3,2,2,210.64125
1973,3,2,2,443.30106
1974,3,2,2,123.0825
1975,3,2,2,28.17112
1976,3,2,2,11.1174
1977,3,2,2,0.71784
1978,3,2,2,6.20716
1979,3,2,2,10.34794
1980,3,2,2,28.68091
1981,3,2,2,54.92053
1982,3,2,2,2.78538
1983,3,2,2,0.39899
1984,3,2,2,0.07801
1985,3,2,2,0.48984
1986,3,2,2,1.72455
1987,3,2,2,0.22511
1988,3,2,2,0.06711
1989,3,2,2,0.95902
1992,3,2,2,0.11454
1993,3,2,2,1.72603
1998,3,2,2,4.95785
2000,3,2,2,4.07238
2001,3,2,2,2.92931
2002,3,2,2,0.11137
2003,3,2,2,0.1502
2009,3,2,2,7.05861
2010,3,2,2,11.13478
2011,3,2,2,60.35642
2012,3,2,2,56.39391
2013,3,2,2,157.59259
2014,3,2,2,58.78839
2015,3,2,2,71.24211
